Actor_label,Country_label,Kpi_label_corporate,Fact_date,Kpi_value,,,
Viaplay,USA,SVOD subscribers,2021-12-31,6000,,,
Viaplay,USA,SVOD subscribers,2022-03-31,11000,,,
Viaplay,USA,SVOD subscribers,2022-06-30,21000,,,
Viaplay,USA,SVOD subscribers,2022-09-30,40000,,,
Viaplay,USA,SVOD subscribers,2022-12-31,66000,,,
Hulu,USA,SVOD subscribers,2021-03-31,41600000,,,
Hulu,USA,SVOD subscribers,2021-06-30,42800000,,,
Hulu,USA,SVOD subscribers,2021-09-30,43700000,,,
Hulu,USA,SVOD subscribers,2021-12-31,45200000,,,
Hulu,USA,SVOD subscribers,2022-03-31,45500000,,,
Hulu,USA,SVOD subscribers,2022-06-30,46200000,,,
Hulu,USA,SVOD subscribers,2022-09-30,47200000,,,
Hulu,USA,SVOD subscribers,2022-12-31,48000000,,,
iQiYi,USA,SVOD subscribers,2022-06-30,126680,,,
iQiYi,USA,SVOD subscribers,2022-09-30,129220,,,
iQiYi,USA,SVOD subscribers,2022-12-31,131800,,,
Fandor,USA,SVOD subscribers,2021-03-31,47141,,,
Fandor,USA,SVOD subscribers,2021-06-30,48084,,,
Fandor,USA,SVOD subscribers,2021-09-30,49046,,,
Fandor,USA,SVOD subscribers,2021-12-31,50027,,,
Fandor,USA,SVOD subscribers,2022-03-31,51027,,,
Fandor,USA,SVOD subscribers,2022-06-30,52048,,,
Fandor,USA,SVOD subscribers,2022-09-30,53089,,,
Fandor,USA,SVOD subscribers,2022-12-31,54150,,,
Sling TV,USA,SVOD subscribers,2021-03-31,2374000,,,
Sling TV,USA,SVOD subscribers,2021-06-30,2439000,,,
Sling TV,USA,SVOD subscribers,2021-09-30,2556000,,,
Sling TV,USA,SVOD subscribers,2021-12-31,2486000,,,
Sling TV,USA,SVOD subscribers,2022-03-31,2252000,,,
Sling TV,USA,SVOD subscribers,2022-06-30,2197000,,,
Sling TV,USA,SVOD subscribers,2022-09-30,2411000,,,
Sling TV,USA,SVOD subscribers,2022-12-31,2334000,,,
Showtime Streaming,USA,SVOD subscribers,2021-03-31,9815467,,,
Showtime Streaming,USA,SVOD subscribers,2021-06-30,10502549,,,
Showtime Streaming,USA,SVOD subscribers,2021-09-30,11237728,,,
Showtime Streaming,USA,SVOD subscribers,2021-12-31,12024369,,,
Showtime Streaming,USA,SVOD subscribers,2022-03-31,12505343,,,
Showtime Streaming,USA,SVOD subscribers,2022-06-30,12192710,,,
Showtime Streaming,USA,SVOD subscribers,2022-09-30,11887892,,,
Showtime Streaming,USA,SVOD subscribers,2022-12-31,11590695,,,
Boomerang,USA,SVOD subscribers,2021-03-31,265358,,,
Boomerang,USA,SVOD subscribers,2021-06-30,273319,,,
Boomerang,USA,SVOD subscribers,2021-09-30,281518,,,
Boomerang,USA,SVOD subscribers,2021-12-31,289964,,,
Boomerang,USA,SVOD subscribers,2022-03-31,298663,,,
Boomerang,USA,SVOD subscribers,2022-06-30,307622,,,
Boomerang,USA,SVOD subscribers,2022-09-30,316851,,,
Boomerang,USA,SVOD subscribers,2022-12-31,326357,,,
Univision Now,USA,SVOD subscribers,2021-03-31,20434,,,
Univision Now,USA,SVOD subscribers,2021-06-30,20639,,,
Univision Now,USA,SVOD subscribers,2021-09-30,20845,,,
Univision Now,USA,SVOD subscribers,2021-12-31,21053,,,
Univision Now,USA,SVOD subscribers,2022-03-31,21264,,,
Univision Now,USA,SVOD subscribers,2022-06-30,21477,,,
Univision Now,USA,SVOD subscribers,2022-09-30,21691,,,
Univision Now,USA,SVOD subscribers,2022-12-31,21908,,,
i-ON TV,USA,SVOD subscribers,2021-03-31,1725,,,
i-ON TV,USA,SVOD subscribers,2021-06-30,1725,,,
i-ON TV,USA,SVOD subscribers,2021-09-30,1725,,,
i-ON TV,USA,SVOD subscribers,2021-12-31,1725,,,
i-ON TV,USA,SVOD subscribers,2022-03-31,1725,,,
i-ON TV,USA,SVOD subscribers,2022-06-30,1725,,,
i-ON TV,USA,SVOD subscribers,2022-09-30,1725,,,
i-ON TV,USA,SVOD subscribers,2022-12-31,1725,,,
Shudder,USA,SVOD subscribers,2021-03-31,814239,,,
Shudder,USA,SVOD subscribers,2021-06-30,871236,,,
Shudder,USA,SVOD subscribers,2021-09-30,932222,,,
Shudder,USA,SVOD subscribers,2021-12-31,1035000,,,
Shudder,USA,SVOD subscribers,2022-03-31,1092500,,,
Shudder,USA,SVOD subscribers,2022-06-30,1184500,,,
Shudder,USA,SVOD subscribers,2022-09-30,1230500,,,
Shudder,USA,SVOD subscribers,2022-12-31,1357000,,,
Sundance Now,USA,SVOD subscribers,2021-03-31,838221,,,
Sundance Now,USA,SVOD subscribers,2021-06-30,880132,,,
Sundance Now,USA,SVOD subscribers,2021-09-30,924139,,,
Sundance Now,USA,SVOD subscribers,2021-12-31,945000,,,
Sundance Now,USA,SVOD subscribers,2022-03-31,997500,,,
